idx,タスク,概要,url
333,Camera Auto-Calibration(カメラの自動キャリブレーション),このタスクには説明がありません！,https://paperswithcode.com/task/camera-auto-calibration
334,Camera shot segmentation(カメラショットセグメンテーション),カメラショットの一時的なセグメンテーションは、上記のフレームを記録するために使用されるカメラの種類に従って、各ビデオフレームを分類することにあります。,https://paperswithcode.com/task/camera-shot-segmentation
335,Change Detection(検出を変更します),変更検出は、時間の経過とともに画像またはビデオシーケンスの変更を検出することを伴うコンピュータービジョンタスクです。,https://paperswithcode.com/task/change-detection
336,Clinical Concept Extraction(臨床概念抽出),臨床的問題、治療、検査、臨床ノートからの解剖学的部分などの臨床指定されたエンティティの自動抽出。,https://paperswithcode.com/task/clinical-concept-extraction
337,Color Mismatch Correction(カラーミスマッチ補正),色の不一致の補正は、色が誤って異なる別の領域のある領域のあるビューから対応する領域に色を転送するタスクです。,https://paperswithcode.com/task/color-mismatch-correction
338,Colorectal Gland Segmentation:(結腸直腸腺セグメンテーション：),このタスクには説明がありません！,https://paperswithcode.com/task/colorectal-gland-segmentation
339,Colorectal Polyps Characterization(結腸直腸ポリープの特性評価),このタスクには説明がありません！,https://paperswithcode.com/task/colorectal-polyps-characterization
340,Colorization(着色),色付けは、画像表現を学ぶために口実として色付けに依存する自己監視アプローチです。,https://paperswithcode.com/method/colorization
341,Composite action recognition(複合アクション認識),このタスクには説明がありません！,https://paperswithcode.com/task/composite-action-recognition
342,Conditional Image Generation(条件付き画像生成),条件付き画像生成は、クラスを条件とするデータセットから新しい画像を生成するタスクです。,https://paperswithcode.com/task/conditional-image-generation
343,Continual Learning(継続的な学習),継続的な学習（増分学習、生涯学習とも呼ばれます）は、前のタスクから得られた知識を忘れずに、多数のタスクのモデルを順番に学習するための概念です。,https://paperswithcode.com/task/continual-learning
344,Contrastive Learning(対照学習),ナンがあります,https://paperswithcode.com/method/contrastive-learning
345,Conversational Response Generation(会話の応答生成),入力の会話が与えられた場合、最後の会話要素への自然な見た目のテキスト返信を生成します。,https://paperswithcode.com/task/conversational-response-generation
346,Cross-Modal Retrieval(クロスモーダル検索),クロスモーダル検索は、さまざまなモダリティにわたって検索タスクを実装するために使用されます。,https://paperswithcode.com/task/cross-modal-retrieval
347,Data Augmentation(データ増強),データ増強には、さまざまな変更に基づいてデータの量を増やすために使用される手法が含まれ、元のデータセットの例の量を拡大します。,https://paperswithcode.com/task/data-augmentation
348,Deep Attention(深い注意),このタスクには説明がありません！,https://paperswithcode.com/task/deep-attention
349,Depression Detection(うつ病の検出),うつ病の検出は、個人のうつ病の兆候を特定する問題です。,https://paperswithcode.com/task/depression-detection
350,Dialog Act Classification(ダイアログ法の分類),このタスクには説明がありません！,https://paperswithcode.com/task/dialog-act-classification
351,Dialogue Generation(対話の生成),対話の生成は、自然言語の入力を「理解」するタスクです。これは、生産量を生成するための自然言語処理内です。,https://paperswithcode.com/task/dialogue-generation
352,Dimensionality Reduction(次元削減),次元削減方法は、データを高次元空間から低次元空間に変換し、低次元空間が元のデータの最も重要な特性を保持するようにします。,https://paperswithcode.com/methods/category/dimensionality-reduction
353,Drivable Area Detection(運転可能なエリア検出),このタスクには説明がありません！,https://paperswithcode.com/task/drivable-area-detection
354,Emotional Dialogue Acts(感情的な対話が行われます),感情と対話を関連付けることは、受け入れるなどのそれらの間のユニークな関係を見つけるために行います,https://paperswithcode.com/task/emotional-dialogue-acts
355,English Conversational Speech Recognition(英語の会話の音声認識),このタスクには説明がありません！,https://paperswithcode.com/task/english-conversational-speech-recognition
356,Face Clustering(フェイスクラスタリング),ビデオでの顔のクラスタリング,https://paperswithcode.com/task/face-clustering
357,Face Generation(顔の生成),顔の生成は、既存のデータセットから新しい顔を生成（または補間）するタスクです。,https://paperswithcode.com/task/face-generation
358,Facial Expression Translation(表情表現の翻訳),このタスクには説明がありません！,https://paperswithcode.com/task/facial-expression-translation
359,Facial expression generation(表情の生成),このタスクには説明がありません！,https://paperswithcode.com/task/facial-expression-generation
360,Fact Checking(事実チェック),このタスクには説明がありません！,https://paperswithcode.com/task/fact-checking
361,Few-Shot Image Classification(少数のショット画像分類),少数のショット画像分類は、各カテゴリのいくつかのラベル付けされた例のみを使用して、画像を事前定義されたカテゴリに分類するための機械学習モデルをトレーニングすることを含むコンピュータービジョンタスクです（通常は6つの例）。,https://paperswithcode.com/task/few-shot-image-classification
362,Few-Shot Object Detection(少ないショットオブジェクト検出),少ないショットオブジェクト検出は、限られたトレーニングデータを持つ画像のオブジェクトを検出することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/few-shot-object-detection
363,Fill Mask(塗りつぶしマスク),このタスクには説明がありません！,https://paperswithcode.com/task/fill-mask
364,Fine-Grained Vehicle Classification(細粒の車両分類),このタスクには説明がありません！,https://paperswithcode.com/task/fine-grained-vehicle-classification
365,Fine-Grained Visual Categorization(細粒の視覚分類),このタスクには説明がありません！,https://paperswithcode.com/task/fine-grained-visual-categorization
366,Fine-Grained Visual Recognition(細粒の視覚認識),このタスクには説明がありません！,https://paperswithcode.com/task/fine-grained-visual-recognition
367,Fine-grained Action Recognition(細粒のアクション認識),このタスクには説明がありません！,https://paperswithcode.com/task/fine-grained-action-recognition
368,Fire Detection(火災検出),多変量時系列センサーデータを使用した火災の検出。,https://paperswithcode.com/task/fire-detection
369,Future Hand Prediction(将来の手の予測),このタスクには説明がありません！,https://paperswithcode.com/task/future-hand-prediction
370,Future prediction(将来の予測),このタスクには説明がありません！,https://paperswithcode.com/task/future-prediction
371,Gait Identification(歩行識別),このタスクには説明がありません！,https://paperswithcode.com/task/gait-identification
372,Gaze Prediction(視線の予測),このタスクには説明がありません！,https://paperswithcode.com/task/eye-tracking
373,Gender Prediction(性別予測),このタスクには説明がありません！,https://paperswithcode.com/task/gender-prediction
374,General Action Video Anomaly Detection(一般的なアクションビデオ異常検出),任意のアクションの短いクリップ全体が異常な動きを特徴としているかどうかを検出します - トレーニング中に見られない別のアクションクラス。,https://paperswithcode.com/task/general-action-video-anomaly-detection
375,General Classification(一般的分類),分類の一般的なタスクを解決しようとするアルゴリズム。,https://paperswithcode.com/task/classification
376,Generalizable Person Re-identification(一般化可能な人の再識別),一般化可能な人の再識別とは、ソースデータセットでトレーニングされた方法を指しますが、ドメインの適応または転送学習なしでターゲットデータセットで直接評価されます。,https://paperswithcode.com/task/generalizable-person-re-identification
377,Generalized Zero-Shot Object Detection(一般化されたゼロショットオブジェクト検出),このタスクには説明がありません！,https://paperswithcode.com/task/generalized-zero-shot-object-detection
378,Gesture Generation(ジェスチャー生成),3Dポーズのシーケンスとしてのジェスチャーの生成,https://paperswithcode.com/task/gesture-generation
379,Graph Matching(グラフマッチング),グラフマッチングは、複雑なリレーショナル情報を保存しながら、2つの頂点間で対応を見つける問題です。,https://paperswithcode.com/task/graph-matching
380,Group Anomaly Detection(グループの異常検出),このタスクには説明がありません！,https://paperswithcode.com/task/group-anomaly-detection
381,HD semantic map learning(HDセマンティックマップ学習),タスクの目標は、オンボードセンサー、たとえばRGBカメラからのデータを使用して、ベクトル化されたフォームでマップ要素を生成することです。,https://paperswithcode.com/task/hd-semantic-map-learning
382,HDR Reconstruction(HDR再構成),このタスクには説明がありません！,https://paperswithcode.com/task/hdr-reconstruction
383,Hand Joint Reconstruction(ハンドジョイント再構成),このタスクには説明がありません！,https://paperswithcode.com/task/hand-joint-reconstruction
384,Hand Segmentation(ハンドセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/hand-segmentation
385,Hand-Gesture Recognition(手のゼロの認識),このタスクには説明がありません！,https://paperswithcode.com/task/hand-gesture-recognition-1
386,Head Pose Estimation(ヘッドポーズの推定),人のヘッドポーズを推定することは、視線の推定を支援する、注意のモデリング、3Dモデルの適合、ビデオへの適合、顔のアライメントの実行など、大量のアプリケーションを備えた重要な問題です。,https://paperswithcode.com/task/head-pose-estimation
387,Heart Rate Variability(心拍数の変動),心拍数変動（HRV）は、心拍間の時間間隔の変動の生理学的現象です。,https://paperswithcode.com/task/heart-rate-variability
388,Home Activity Monitoring(ホームアクティビティ監視),このタスクには説明がありません！,https://paperswithcode.com/task/home-activity-monitoring
389,Human Activity Recognition(人間の活動認識),さまざまな人間の活動を分類します,https://paperswithcode.com/task/human-activity-recognition
390,Human Dynamics(人間のダイナミクス),このタスクには説明がありません！,https://paperswithcode.com/task/human-dynamics
391,Human Instance Segmentation(人間のインスタンスセグメンテーション),インスタンスセグメンテーションは、画像に表示される各関心のあるオブジェクトを検出および描写するタスクです。,https://paperswithcode.com/task/human-instance-segmentation
392,Human Part Segmentation(人間の部分セグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/human-part-segmentation
393,Human fMRI response prediction(ヒトfMRI応答予測),タスクは次のとおりです。a）日常のイベントのビデオセットとb）対応する脳反応は、人間の参加者がそれらのビデオを見ている間に記録されている間、計算モデルを使用してビデオの脳反応を予測します。,https://paperswithcode.com/task/human-fmri-response-prediction
394,Human motion prediction(人間のモーション予測),アクション予測は、事前のビデオ理解タスクであり、将来の状態に焦点を当てています。つまり、将来の状態について推論するか、アクション実行の終了前にアクションラベルを推測する必要があります。,https://paperswithcode.com/task/human-motion-prediction
395,Human-Object-interaction motion tracking(ヒトオブジェクトと相互作用のモーショントラッキング),このタスクには説明がありません！,https://paperswithcode.com/task/human-object-interaction-motion-tracking
396,Image Captioning(画像キャプション),画像キャプションは、言葉で画像の内容を記述するタスクです。,https://paperswithcode.com/task/image-captioning
397,Image Deblurring(画像デブリング),このタスクには説明がありません！,https://paperswithcode.com/task/image-deblurring
398,Image Dehazing(画像の脱線),（画像クレジット：密に接続されたピラミッド脱hazingネットワーク）,https://paperswithcode.com/task/image-dehazing
399,Image Denoising(画像除去),画像除去は、画像からノイズを削除することを伴うコンピュータービジョンタスクです。,https://paperswithcode.com/task/image-denoising
400,Image Generation from Scene Graphs(シーングラフからの画像生成),このタスクには説明がありません！,https://paperswithcode.com/task/image-generation-from-scene-graphs
401,Image Manipulation(画像操作),このタスクには説明がありません！,https://paperswithcode.com/task/image-manipulation
402,Image Registration(画像登録),画像登録は、さまざまなデータセットを1つの座標系に変換するプロセスです。,https://paperswithcode.com/task/image-registration
403,Image Relighting(画像の再視力),画像の再視力には、画像の照明設定を変更することが含まれます。,https://paperswithcode.com/task/image-relighting
404,Image Restoration(画像の復元),画像修復は、破損した入力画像から高品質の画像を取得するための逆の問題のファミリーです。,https://paperswithcode.com/task/image-restoration
405,Image-level Supervised Instance Segmentation(画像レベルの教師付きインスタンスセグメンテーション),画像レベルのラベルを使用した、弱く監視されたインスタンスセグメンテーション,https://paperswithcode.com/task/image-level-supervised-instance-segmentation
406,Image-to-Text Retrieval(画像からテキストへの検索),このタスクには説明がありません！,https://paperswithcode.com/task/image-to-text-retrieval
407,Imitation Learning(模倣学習),模倣学習は、デモンストレーションから行動ポリシーを学習するためのフレームワークです。,https://paperswithcode.com/task/imitation-learning
408,Imputation(帰属),一部の基準に従って欠落データを値で置き換える。,https://paperswithcode.com/task/imputation
409,Indoor Localization(屋内ローカリゼーション),屋内のローカリゼーションは、屋内のロケーションベースのアプリケーションの根本的な問題です。,https://paperswithcode.com/task/indoor-localization
410,Information Retrieval(情報検索),情報検索は、クエリに応じてドキュメントまたは検索結果のリストをランキングするタスクです,https://paperswithcode.com/task/information-retrieval
411,Instrument Recognition(機器認識),このタスクには説明がありません！,https://paperswithcode.com/task/instrument-recognition
412,Inverse-Tone-Mapping(逆トーンマッピング),このタスクには説明がありません！,https://paperswithcode.com/task/inverse-tone-mapping-1
413,Joint Demosaicing and Denoising(関節のデモ除去と除去),このタスクには説明がありません！,https://paperswithcode.com/task/joint-demosaicing-and-denoising
414,Keypoint Detection(キーポイント検出),キーポイント検出には、同時に人を検出し、キーポイントをローカライズすることが含まれます。,https://paperswithcode.com/task/keypoint-detection
415,Kinematic Based Workflow Recognition(運動ベースのワークフロー認識),このタスクには説明がありません！,https://paperswithcode.com/task/kinematic-based-workflow-recognition
416,Knowledge Distillation(知識の蒸留),ほぼすべての機械学習アルゴリズムのパフォーマンスを改善する非常に簡単な方法は、同じデータで多くの異なるモデルをトレーニングし、その予測を平均化することです。,https://paperswithcode.com/method/knowledge-distillation
417,Language Modelling(言語モデリング),言語モデリングは、ドキュメント内の次の単語または文字を予測するタスクです。,https://paperswithcode.com/task/language-modelling
418,Layout-to-Image Generation(レイアウトから画像の生成),レイアウトから画像への生成指定されたレイアウトに基づいてシーンを生成するタスク。,https://paperswithcode.com/task/layout-to-image-generation
419,Lesion Detection(病変検出),このタスクには説明がありません！,https://paperswithcode.com/task/lesion-detection
420,License Plate Detection(ナンバープレートの検出),ナンバープレート認識は、ナンバープレートで車両を識別するために使用される画像処理テクノロジーです。,https://paperswithcode.com/task/license-plate-detection
421,License Plate Recognition(ナンバープレートの認識),このタスクには説明がありません！,https://paperswithcode.com/task/license-plate-recognition
422,Lip password classification(リップパスワード分類),指定されたユーザーが指定されたパスワードを発しているかどうかを予測する分類タスク。,https://paperswithcode.com/task/lip-password-classification
423,Localization In Video Forgery(ビデオ偽造のローカリゼーション),このタスクには説明がありません！,https://paperswithcode.com/task/localization-in-video-forgery
424,Logical Reasoning Question Answering(論理的な推論質問応答),Reclor（ICLR 2020）によって導入された論理的推論は、質問に答えるためのモデルの論理的推論能力を評価することです。,https://paperswithcode.com/task/logical-reasoning-question-ansering
425,Long Term Action Anticipation(長期的な行動の予想),このタスクには説明がありません！,https://paperswithcode.com/task/long-term-action-anticipation
426,Long-tail Learning(ロングテール学習),視覚的認識で最も困難な問題の1つであるロングテールの学習は、長期にわたるクラスの分布に続く多数の画像から、パフォーマンスの良いモデルを訓練することを目指しています。,https://paperswithcode.com/task/long-tail-learning
427,Low resource - Speech Emotion Recognition(低リソース - 音声感情認識),このタスクには説明がありません！,https://paperswithcode.com/task/low-resource-speech-emotion-recognition
428,Low-Light Image Enhancement(低光画像の強化),低光画像の強化は、低照度条件下でキャプチャされた画像の品質を改善することを伴うコンピュータービジョンタスクです。,https://paperswithcode.com/task/low-light-image-enhancement
429,MULTI-VIEW LEARNING(マルチビュー学習),マルチビュー学習は、データが複数の異なる機能グループで表される機械学習フレームワークであり、各機能グループは特定のビューと呼ばれます。,https://paperswithcode.com/task/multi-view-learning
430,Markerless Motion Capture(マーカーレスモーションキャプチャ),このタスクには説明がありません！,https://paperswithcode.com/task/markerless-motion-capture
431,Medical Diagnosis(医療診断),医学的診断は、特定の危険因子、兆候、症状、および試験結果の評価に基づいて、患者が影響を受ける疾患を特定するプロセスです。,https://paperswithcode.com/task/medical-diagnosis
432,Medical Image Registration(医療画像登録),画像登録は、画像の融合または画像マッチングとも呼ばれ、画像の外観に基づいて2つ以上の画像を調整するプロセスです。,https://paperswithcode.com/task/medical-image-registration
433,Medical Object Detection(医療物体の検出),医療オブジェクトの検出は、画像内の医療ベースのオブジェクトを識別するタスクです。,https://paperswithcode.com/task/medical-object-detection
434,Metaheuristic Optimization(メタヒューリスティックな最適化),コンピューターサイエンスと数学的最適化では、メタヒューリスティックは、最適化問題に対して十分に良い解決策を提供する可能性のあるヒューリスティック（部分検索アルゴリズム）を見つけ、生成、または選択するように設計された高レベルの手順またはヒューリスティックです。,https://paperswithcode.com/task/metaheuristic-optimization
435,Micro-Expression Spotting(マイクロエクスプレッションスポッティング),顔の微小表現スポッティングは、発症、頂点、および,https://paperswithcode.com/task/micro-expression-spotting
436,Misinformation(誤報),このタスクには説明がありません！,https://paperswithcode.com/task/misinformation
437,Mistake Detection(間違いの検出),多くのタスクでの間違いは自然な発生であり、ARアシスタントが助けを提供する機会です。,https://paperswithcode.com/task/mistake-detection
438,Moment Queries(モーメントクエリ),このタスクには説明がありません！,https://paperswithcode.com/task/moment-queries
439,Monocular 3D Human Pose Estimation(単眼3Dヒトポーズ推定),このタスクは、単一のRGBカメラを使用した3Dヒューマンポーズ推定をターゲットにします。,https://paperswithcode.com/task/monocular-3d-human-pose-estimation
440,Monocular 3D Object Detection(単眼3Dオブジェクト検出),単眼3Dオブジェクト検出は、単一の2D RGB画像でオブジェクトの周りに3D境界ボックスを描画するタスクです。,https://paperswithcode.com/task/monocular-3d-object-detection
441,Monocular Cross-View Road Scene Parsing(Road)(単眼のクロスビューロードシーンの解析（道路）),このタスクには説明がありません！,https://paperswithcode.com/task/monocular-cross-view-road-scene-parsing-road
442,Monocular Cross-View Road Scene Parsing(Vehicle)(単眼のクロスビューロードシーンの解析（車両）),このタスクには説明がありません！,https://paperswithcode.com/task/monocular-cross-view-road-scene-parsing
443,Motion Disentanglement(モーション解体),非標識ビデオでの通常の動きから不規則な（異常な）動きを解くための自己監視学習方法。,https://paperswithcode.com/method/motion-disentanglement
444,Motion Synthesis(モーション合成),画像ソース：回転したデュアルピクセルのぼかしカーネルを適用することによるマルチビューモーション合成,https://paperswithcode.com/task/motion-synthesis
445,Moving Object Detection(移動オブジェクトの検出),このタスクには説明がありません！,https://paperswithcode.com/task/moving-object-detection
446,Multi Future Trajectory Prediction(多将来の軌跡予測),このタスクには説明がありません！,https://paperswithcode.com/task/multi-future-trajectory-prediction-1
447,Multi-Frame Super-Resolution(マルチフレームスーパー解像度),同じビューの複数の画像が、おそらく異なる時期にも、わずかに異なる位置から取られている場合、それらはそれ自体の単一の画像よりも多くの情報を集合的に含んでいます。,https://paperswithcode.com/task/multi-frame-super-resolution
448,Multi-Instance Retrieval(マルチインストの検索),このタスクには説明がありません！,https://paperswithcode.com/task/multi-instance-retrieval
449,Multi-Label Image Classification(マルチラベル画像分類),マルチラベル画像分類は、各画像が複数のクラスに属する可能性のあるマルチクラス分類問題の画像のラベルの予測に焦点を当てています。,https://paperswithcode.com/task/multi-label-image-classification
450,Multi-Person Pose Estimation and Tracking(マルチパーソンのポーズ推定と追跡),共同マルチパーソンは、Posetrackベンチマークに続いて、推定と追跡をもたらします。,https://paperswithcode.com/task/multi-person-pose-estimation-and-tracking
451,Multi-agent Reinforcement Learning(マルチエージェント強化学習),マルチエージェント強化学習の目標は、異なるサブタスクに焦点を当てた複数のエージェントを統合することにより、複雑な問題を解決することです。,https://paperswithcode.com/task/multi-agent-reinforcement-learning
452,Multi-modal Classification(マルチモーダル分類),このタスクには説明がありません！,https://paperswithcode.com/task/multi-modal-classification
453,Multi-task Audio Source Seperation(マルチタスクオーディオソースの分離),このタスクには説明がありません！,https://paperswithcode.com/task/multi-task-audio-source-seperation
454,Multimodal Abstractive Text Summarization(マルチモーダルの抽象的なテキストの要約),複数のモダリティからの情報を利用することによる抽象的なテキストの要約。,https://paperswithcode.com/task/multimodal-abstractive-text-summarization
455,Multimodal Association(マルチモーダル協会),マルチモーダル協会は、時系列分析で複数のモダリティまたはタイプのデータを関連付けるプロセスを指します。,https://paperswithcode.com/task/multimodal-association
456,Multimodal Forgery Detection(マルチモーダル偽造検出),マルチモーダル偽造検出タスクは、ビデオとオーディオの両方を使用する深い偽造検出方法です。,https://paperswithcode.com/task/multimodal-forgery-detection
457,Multimodal GIF Dialog(マルチモーダルGIFダイアログ),このタスクには説明がありません！,https://paperswithcode.com/task/multimodal-gif-dialog
458,Multiple Object Track and Segmentation(複数のオブジェクトトラックとセグメンテーション),複数のオブジェクトの追跡とセグメンテーションには、特定のクラスのセットに属するオブジェクトを検出、追跡、およびセグメント化する必要があります。,https://paperswithcode.com/task/multiple-object-track-and-segmentation
459,Multiview Detection(マルチビュー検出),大量に閉塞されたシナリオで検出するために複数のカメラビューを組み込む。,https://paperswithcode.com/task/multiview-detection
460,Multiview Gait Recognition(マルチビュー歩行認識),このタスクには説明がありません！,https://paperswithcode.com/task/multiview-gait-recognition
461,Music Classification(音楽分類),このタスクには説明がありません！,https://paperswithcode.com/task/music-classification
462,Music Emotion Recognition(音楽感情認識),このタスクには説明がありません！,https://paperswithcode.com/task/music-emotion-recognition
463,Music Generation(音楽世代),音楽生成は、モデルやアルゴリズムから音楽や音楽のような音を生成するタスクです。,https://paperswithcode.com/task/music-generation
464,Natural Language Inference(自然言語の推論),自然言語推論（NLI）は、「仮説」が真実（誤った）、偽（矛盾）、または「前提」を与えられた未定（中立）かどうかを判断するタスクです。,https://paperswithcode.com/task/natural-language-inference
465,Natural Language Understanding(自然言語の理解),自然言語理解は、テキスト分類、自然言語の推論、ストーリーの理解などのさまざまなタスクを含む自然言語処理の重要な分野です。,https://paperswithcode.com/task/natural-language-understanding
466,No-Reference Image Quality Assessment(参照なしの画質評価),モデルが参照画像情報が利用できない画像品質評価アプローチ。,https://paperswithcode.com/task/no-reference-image-quality-assessment
467,Object Categorization(オブジェクト分類),オブジェクトの分類は、特定のセットから、入力画像と境界ボックスで定義された画像領域に最もよく対応するラベルを識別します。,https://paperswithcode.com/task/object-categorization
468,Object Detection In Indoor Scenes(屋内シーンでのオブジェクト検出),屋内シーンでのオブジェクト検出は、屋内環境内でオブジェクト検出を実行するタスクです。,https://paperswithcode.com/task/object-detection-in-indoor-scenes
469,Object Discovery(オブジェクトの発見),オブジェクトの発見は、以前に見えないオブジェクトを識別するタスクです。,https://paperswithcode.com/task/object-discovery
470,Object Proposal Generation(オブジェクト提案生成),オブジェクトプロポーザル生成は、オブジェクトの検索をガイドし、画像間の徹底的なスライディングウィンドウ検索を避けるために、現在のオブジェクト検出パイプラインで広く使用されている前処理手法です。,https://paperswithcode.com/task/object-proposal-generation
471,Object State Change Classification(オブジェクト状態の変更分類),このタスクには説明がありません！,https://paperswithcode.com/task/object-state-change-classification
472,Occluded 3D Object Symmetry Detection(閉塞された3Dオブジェクト対称検出),このタスクには説明がありません！,https://paperswithcode.com/task/occluded-3d-object-symmetry-detection
473,Offline RL(オフラインRL),このタスクには説明がありません！,https://paperswithcode.com/task/offline-rl
474,One-Shot Instance Segmentation(ワンショットインスタンスセグメンテーション),（画像クレジット：シャムマスクR-CNN）,https://paperswithcode.com/task/one-shot-instance-segmentation
475,One-Shot Object Detection(ワンショットオブジェクトの検出),（画像クレジット：シャムマスクR-CNN）,https://paperswithcode.com/task/one-shot-object-detection
476,One-shot visual object segmentation(ワンショットビジュアルオブジェクトセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/one-shot-visual-object-segmentation
477,Open Set Action Recognition(オープンセットアクション認識),このタスクには説明がありません！,https://paperswithcode.com/task/open-set-action-recognition
478,Open Vocabulary Object Detection(開く語彙オブジェクト検出),オープンボキャブラリー検出（OVD）は、トレーニング段階でラベル付けされた限られた数の基本クラスを超えて一般化することを目的としています。,https://paperswithcode.com/task/open-vocabulary-object-detection
479,Open-Domain Dialog(オープンドメインダイアログ),このタスクには説明がありません！,https://paperswithcode.com/task/open-domain-dialog
480,Organ Detection(臓器検出),このタスクには説明がありません！,https://paperswithcode.com/task/organ-detection
481,Paraphrase Generation(言い換えの生成),言い換えの生成には、自然言語文を新しい文に変換することが含まれます。これは、同じ意味の意味ですが、異なる構文または語彙表面形式です。,https://paperswithcode.com/task/paraphrase-generation
482,Partial Label Learning(部分ラベル学習),このタスクには説明がありません！,https://paperswithcode.com/task/partial-label-learning
483,Partial Point Cloud Matching(部分ポイントクラウドマッチング),このタスクには説明がありません！,https://paperswithcode.com/task/partial-point-cloud-matching
484,Partial Video Copy Detection(部分的なビデオコピー検出),PVCDの目標は、長いテストビデオの1つ以上のセグメントがリファレンスビデオデータセットからコピー（変換）されているかどうかを識別および検索することです。,https://paperswithcode.com/task/partial-video-copy-detection
485,Pedestrian Trajectory Prediction(歩行者の軌跡予測),このタスクには説明がありません！,https://paperswithcode.com/task/pedestrian-trajectory-prediction
486,Person Recognition(人の認識),このタスクには説明がありません！,https://paperswithcode.com/task/person-recognition
487,Personality Recognition in Conversation(会話における人格認識),スピーカーの他の人との会話を考えると、会話記録を通じてスピーカーの性格特性を認識する必要があります。これには、2つのシナリオが含まれます（1）,https://paperswithcode.com/task/personality-recognition-in-conversation
488,Personality Trait Recognition(人格特性認識),このタスクには説明がありません！,https://paperswithcode.com/task/personality-trait-recognition
489,Personalized and Emotional Conversation(パーソナライズされた感情的な会話),パーソナライズされた感情的な会話（PEC）は、次のように定義されます。,https://paperswithcode.com/task/personalized-and-emotional-conversation
490,Persuasion Strategies(説得戦略),広告における説得戦略の予測,https://paperswithcode.com/task/persuasion-strategies
491,Photoplethysmography (PPG) heart rate estimation(フォトプレチスモグラフィ（PPG）心拍数の推定),フォトトプレチュートモグラム（PPG）信号からの心拍数の推定,https://paperswithcode.com/task/photoplethysmography-ppg-heart-rate
492,Point Cloud Registration(ポイントクラウド登録),ポイントクラウド登録は、3Dコンピュータービジョンと写真測量の根本的な問題です。,https://paperswithcode.com/task/point-cloud-registration
493,Point-Supervised Instance Segmentation(ポイントスパイブ化されたインスタンスセグメンテーション),ポイントラベルを使用した弱く監視されたインスタンスセグメンテーション,https://paperswithcode.com/task/point-supervised-instance-segmentation
494,Portrait Segmentation(ポートレートセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/portrait-segmentation
495,Pose Contrastive Learning(対照的な学習をもたらします),ここにメソッドについて説明してください,https://paperswithcode.com/method/pose-contrastive-learning
496,Privacy Preserving Deep Learning(深い学習を維持するプライバシー),プライバシープレゼント（深い）学習の目標は、トレーニングデータセットのプライバシーを維持しながらモデルをトレーニングすることです。,https://paperswithcode.com/task/privacy-preserving-deep-learning
497,drone-based object tracking(ドローンベースのオブジェクト追跡),ドローンベースのオブジェクト追跡,https://paperswithcode.com/task/drone-based-object-tracking
498,eXtreme-Video-Frame-Interpolation(極端なビデオフレーム挿入),極端な動きを伴う1000 fpsの4Kビデオを含むx4k1000fpsデータセットの中間フレームを補間するビデオフレーム補間（VFI）。,https://paperswithcode.com/task/extreme-video-frame-interpolation
