task,script,url
Robust Object Detection,"A Benchmark for the: Robustness of Object Detection Models to Image Corruptions and Distortions
To allow fair comparison of robustness enhancing methods all models have to use a standard ResNet50 backbone because performance strongly scales with backbone capacity. If requested an unrestricted category can be added later.
Benchmark Homepage: https://github.com/bethgelab/robust-detection-benchmark
Metrics:
mPC [AP]: Mean Performance under Corruption [measured in AP]
rPC [%]: Relative Performance under Corruption [measured in %]
Test sets: Coco: val 2017; Pascal VOC: test 2007; Cityscapes: val;
( Image credit: Benchmarking Robustness in Object Detection )",https://paperswithcode.com/task/robust-object-detection
Scene Change Detection,"Scene change detection (SCD) refers to the task of localizing changes and identifying change-categories given two scenes. A scene can be either an RGB (+D) image or a 3D reconstruction (point cloud). If the scene is an image, SCD is a form of pixel-level prediction because each pixel in the image is classified according to a category. On the other hand, if the scene is point cloud, SCD is a form of point-level prediction because each point in the cloud is classified according to a category.
Some example benchmarks for this task are VL-CMU-CD, PCD, and CD2014. Recently, more complicated benchmarks such as ChangeSim, HDMap, and Mallscape are released.
Models are usually evaluated with the Mean Intersection-Over-Union (Mean IoU), Pixel Accuracy, or F1 metrics.",https://paperswithcode.com/task/scene-change-detection
Scene Text Recognition,See Scene Text Detection for leaderboards in this task.,https://paperswithcode.com/task/scene-text-recognition
Self-supervised Video Retrieval,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/self-supervised-video-retrieval
Semantic Object Interaction Classification,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/semantic-object-interaction-classification
Semi-Supervised Action Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/semi-supervised-action-detection
Sentiment Analysis,"Sentiment Analysis is the task of classifying the polarity of a given text. For instance, a text-based tweet can be categorized into either ""positive"", ""negative"", or ""neutral"". Given the text and accompanying labels, a model can be trained to predict the correct sentiment.
Sentiment Analysis techniques can be categorized into machine learning approaches, lexicon-based approaches, and even hybrid methods. Some subcategories of research in sentiment analysis include: multimodal sentiment analysis, aspect-based sentiment analysis, fine-grained opinion analysis, language specific sentiment analysis.
More recently, deep learning techniques, such as RoBERTa and T5, are used to train high-performing sentiment classifiers that are evaluated using metrics like F1, recall, and precision. To evaluate sentiment analysis systems, benchmark datasets like SST, GLUE, and IMDB movie reviews are used.
Further readings:
Sentiment Analysis Based on Deep Learning: A Comparative Study",https://paperswithcode.com/task/sentiment-analysis
Skills Assessment,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/skills-assessment
Skills Evaluation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/skills-evaluation
Speaker Verification,"Speaker verification is the verifying the identity of a person from characteristics of the voice.
( Image credit: Contrastive-Predictive-Coding-PyTorch )",https://paperswithcode.com/task/speaker-verification
Speech Emotion Recognition,"Speech Emotion Recognition is a task of speech processing and computational paralinguistics that aims to recognize and categorize the emotions expressed in spoken language. The goal is to determine the emotional state of a speaker, such as happiness, anger, sadness, or frustration, from their speech patterns, such as prosody, pitch, and rhythm.
For multimodal emotion recognition, please upload your result to Multimodal Emotion Recognition on IEMOCAP",https://paperswithcode.com/task/speech-emotion-recognition
Speech Enhancement,Estimate clean speech from a noisy/distorted speech mixture.,https://paperswithcode.com/methods/category/speech-enhancement
Steering Control,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/steering-control
Stereo Matching,"Stereo Matching is one of the core technologies in computer vision, which recovers 3D structures of real world from 2D images. It has been widely used in areas such as autonomous driving, augmented reality and robotics navigation. Given a pair of rectified stereo images, the goal of Stereo Matching is to compute the disparity for each pixel in the reference image, where disparity is defined as the horizontal displacement between a pair of corresponding pixels in the left and right images.
Source: Adaptive Unimodal Cost Volume Filtering for Deep Stereo Matching",https://paperswithcode.com/task/stereo-matching-1
Surgical Gesture Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/surgical-gesture-recognition
Surgical tool detection,Presence detection of various classes of surgical instruments in endoscopy videos.,https://paperswithcode.com/task/surgical-tool-detection
Talking Face Generation,"Talking face generation aims to synthesize a sequence of face images that correspond to given speech semantics
( Image credit: Talking Face Generation by Adversarially Disentangled Audio-Visual Representation )",https://paperswithcode.com/task/talking-face-generation
Text Generation,"Text Generation is the task of generating text with the goal of appearing indistinguishable to human-written text. This task if more formally known as ""natural language generation"" in the literature.
Text generation can be addressed with Markov processes or deep generative models like LSTMs. Recently, some of the most advanced methods for text generation include BART, GPT and other GAN-based approaches. Text generation systems are evaluated either through human ratings or automatic evaluation metrics like METEOR, ROUGE, and BLEU.
Further readings:
The survey: Text generation models in deep learning
Modern Methods for Text Generation
( Image credit: Adversarial Ranking for Language Generation )",https://paperswithcode.com/task/text-generation
Text-to-video search,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/text-to-video-search
Thermal Infrared Object Tracking,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/thermal-infrared-object-tracking
Traffic Accident Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/traffic-accident-detection
Unsupervised 3D Human Pose Estimation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/unsupervised-3d-human-pose-estimation
Unsupervised Anomaly Detection,"The objective of Unsupervised Anomaly Detection is to detect previously unseen rare objects or events without any prior knowledge about these. The only information available is that the percentage of anomalies in the dataset is small, usually less than 1%. Since anomalies are rare and unknown to the user at training time, anomaly detection in most cases boils down to the problem of modelling the normal data distribution and defining a measurement in this space in order to classify samples as anomalous or normal. In high-dimensional data such as images, distances in the original space quickly lose descriptive power (curse of dimensionality) and a mapping to some more suitable space is required.
Source: Unsupervised Learning of Anomaly Detection from Contaminated Image Data using Simultaneous Encoder Training",https://paperswithcode.com/task/unsupervised-anomaly-detection
Unsupervised Human Pose Estimation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/unsupervised-human-pose-estimation
Unsupervised Skeleton Based Action Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/unsupervised-skeleton-based-action
Vehicle Re-Identification,"Vehicle re-identification is the task of identifying the same vehicle across multiple cameras.
( Image credit: A Two-Stream Siamese Neural Network for Vehicle Re-Identification by Using Non-Overlapping Cameras )",https://paperswithcode.com/task/vehicle-re-identification
Video Alignment,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/video-alignment
Video Compression,"Video Compression is a process of reducing the size of an image or video file by exploiting spatial and temporal redundancies within an image or video frame and across multiple video frames. The ultimate goal of a successful Video Compression system is to reduce data volume while retaining the perceptual quality of the decompressed data.
Source: Adversarial Video Compression Guided by Soft Edge Detection",https://paperswithcode.com/task/video-compression
Video Emotion Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/video-emotion-recognition
Video Enhancement,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/video-enhancement
Video Matting,Image credit: https://arxiv.org/pdf/2012.07810v1.pdf,https://paperswithcode.com/task/video-matting
Video Polyp Segmentation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/video-polyp-segmentation
Video Restoration,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/video-restoration
Video Synchronization,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/video-synchronization
Video Visual Relation Detection,"Video Visual Relation Detection (VidVRD) aims to detect instances of visual relations of interest in a video, where a visual relation instance is represented by a relation triplet <subject, predicate, object> with the trajectories of the subject and object. As compared to still images, videos provide a more natural set of features for detecting visual relations, such as the dynamic relations like “A-follow-B” and “A-towards-B”, and temporally changing relations like “A-chase-B” followed by “A-hold-B”. Yet, VidVRD is technically more challenging than ImgVRD due to the difficulties in accurate object tracking and diverse relation appearances in the video domain.
Source: ImageNet-VidVRD Video Visual Relation Dataset",https://paperswithcode.com/task/video-visual-relation-detection
Video Visual Relation Tagging,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/video-visual-relation-tagging
Video-Based Person Re-Identification,Video-based person re-identification (reID) aims to retrieve person videos with the same identity as a query person across multiple cameras,https://paperswithcode.com/task/video-based-person-re-identification
Video-to-image Affordance Grounding,"Given a demonstration video V and a target image I, the goal of video-to-image affordance grounding predict an affordance heatmap over the target image according to the hand-interacted region in the video, accompanied by the affordance action (e.g., press, turn).",https://paperswithcode.com/task/video-to-image-affordance-grounding
Visual Reasoning,Ability to understand actions and reasoning associated with any visual images,https://paperswithcode.com/task/visual-reasoning
Weakly Supervised Action Segmentation (Transcript),Action Segmentation from weak (transcript) supervision.,https://paperswithcode.com/task/weakly-supervised-action-segmentation
Weakly Supervised Object Detection,"Weakly Supervised Object Detection (WSOD) is the task of training object detectors with only image tag supervisions.
( Image credit: Soft Proposal Networks for Weakly Supervised Object Localization )",https://paperswithcode.com/task/weakly-supervised-object-detection
Weakly Supervised Temporal Action Localization,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/weakly-supervised-temporal-action-1
Weakly-supervised 3D Human Pose Estimation,This task targets at 3D Human Pose Estimation with fewer 3D annotation.,https://paperswithcode.com/task/weakly-supervised-3d-human-pose-estimation
Weather Forecasting,"Weather Forecasting is the prediction of future weather conditions such as precipitation, temperature, pressure and wind.
Source: MetNet: A Neural Weather Model for Precipitation Forecasting",https://paperswithcode.com/task/weather-forecasting
Zero Shot Skeletal Action Recognition,Zero-Shot Learning for 3D skeletal action recognition,https://paperswithcode.com/task/zero-shot-skeletal-action-recognition
Zero-Shot Action Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/zero-shot-action-detection
Zero-Shot Object Detection,"Zero-shot object detection (ZSD) is the task of object detection where no visual training data is available for some of the target object classes.
( Image credit: Zero-Shot Object Detection: Learning to Simultaneously Recognize and Localize Novel Concepts )",https://paperswithcode.com/task/zero-shot-object-detection
audio-visual learning,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/audio-visual-learning
object-detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/object-detection-1
2D Semantic Segmentation task 1 (8 classes),This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/2d-semantic-segmentation-task-1-8-classes
2D Semantic Segmentation task 3 (25 classes),This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/2d-semantic-segmentation-task-3-25-classes
3D Anomaly Detection,3D-only Anomaly Detection,https://paperswithcode.com/task/3d-anomaly-detection
3D Car Instance Understanding,"3D Car Instance Understanding is the task of estimating properties (e.g.translation, rotation and shape) of a moving or parked vehicle on the road.
( Image credit: Occlusion-Net )",https://paperswithcode.com/task/3d-car-instance-understanding
3D Classification,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/3d-classification
3D Depth Estimation,Image: monodepth2,https://paperswithcode.com/task/3d-depth-estimation
3D Feature Matching,Image: Choy et al,https://paperswithcode.com/task/3d-feature-matching
3D Geometry Perception,Image: Zhao et al,https://paperswithcode.com/task/3d-geometry-perception
3D Human Dynamics,Image: Zhang et al,https://paperswithcode.com/task/3d-human-dynamics
3D Human Pose Tracking,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/3d-human-pose-tracking
3D Instance Segmentation,Image: OccuSeg,https://paperswithcode.com/task/3d-instance-segmentation-1
3D Object Classification,"3D Object Classification is the task of predicting the class of a 3D object point cloud. It is a voxel level prediction where each voxel is classified into a category. The popular benchmark for this task is the ModelNet dataset. The models for this task are usually evaluated with the Classification Accuracy metric.
Image: Sedaghat et al",https://paperswithcode.com/task/3d-object-classification
3D Object Detection From Stereo Images,"Estimating oriented 3D bounding boxes from Stereo Cameras only.
Image: You et al",https://paperswithcode.com/task/3d-object-detection-from-stereo-images
3D Object Recognition,"3D object recognition is the task of recognising objects from 3D data.
Note that there are related tasks you can look at, such as 3D Object Detection which have more leaderboards.
(Image credit: Look Further to Recognize Better)",https://paperswithcode.com/task/3d-object-recognition
3D Object Reconstruction,Image: Choy et al,https://paperswithcode.com/task/3d-object-reconstruction
3D Object Retrieval,Source: He et al,https://paperswithcode.com/task/3d-object-retrieval
3D Point Cloud Matching,Image: Gojic et al,https://paperswithcode.com/task/3d-point-cloud-matching
3D Point Cloud Reconstruction,Encoding and reconstruction of 3D point clouds.,https://paperswithcode.com/task/3d-point-cloud-reconstruction
3D Scene Reconstruction,Creating 3D scene either using conventional SFM pipelines or latest deep learning approaches.,https://paperswithcode.com/task/3d-scene-reconstruction
3D Shape Reconstruction,"Image credit: GSNet: Joint Vehicle Pose and Shape Reconstruction with Geometrical and Scene-aware Supervision , ECCV'20",https://paperswithcode.com/task/3d-shape-reconstruction
3D Shape Representation,Image: MeshNet,https://paperswithcode.com/task/3d-shape-representation
6D Pose Estimation,Image: Zeng et al,https://paperswithcode.com/task/6d-pose-estimation-1
6D Pose Estimation using RGB,"6D Pose Estimation using RGB refers to the task of determining the six degree-of-freedom (6D) pose of an object in 3D space based on RGB images. This involves estimating the position and orientation of an object in a scene, and is a fundamental problem in computer vision and robotics. In this task, the goal is to estimate the 6D pose of an object given an RGB image of the object and the scene, which can be used for tasks such as robotic manipulation, augmented reality, and scene reconstruction.
( Image credit: Segmentation-driven 6D Object Pose Estimation )",https://paperswithcode.com/task/6d-pose-estimation
6D Pose Estimation using RGBD,Image: Zeng et al,https://paperswithcode.com/task/6d-pose-estimation-using-rgbd
Abstractive Text Summarization,"Abstractive Text Summarization is the task of generating a short and concise summary that captures the salient ideas of the source text. The generated summaries potentially contain new phrases and sentences that may not appear in the source text.
Source: Generative Adversarial Network for Abstractive Text Summarization
Image credit: Abstractive Text Summarization using Sequence-to-sequence RNNs and Beyond",https://paperswithcode.com/task/abstractive-text-summarization
Active Object Detection,Active Learning for Object Detection,https://paperswithcode.com/task/active-object-detection
Activeness Detection,Determining activeness via images,https://paperswithcode.com/task/activeness-detection
Aesthetics Quality Assessment,Automatic assessment of aesthetic-related subjective ratings.,https://paperswithcode.com/task/aesthetics-quality-assessment
Age Estimation,"Age Estimation is the task of estimating the age of a person from an image some other kind of data.
( Image credit: BridgeNet )",https://paperswithcode.com/task/age-estimation
Amodal Instance Segmentation,"Different from traditional segmentation which only focuses on visible regions, amodal instance segmentation also predicts the occluded parts of object instances.
Description Credit: Deep Occlusion-Aware Instance Segmentation with Overlapping BiLayers, CVPR'21",https://paperswithcode.com/task/amodal-instance-segmentation
Amodal Panoptic Segmentation,The goal of this task is to simultaneously predict the pixel-wise semantic segmentation labels of the visible regions of stuff classes and the instance segmentation labels of both the visible and occluded regions of thing classes.,https://paperswithcode.com/task/amodal-panoptic-segmentation
Animal Action Recognition,"Cross-species (intra-class, inter-class) action recognition",https://paperswithcode.com/task/animal-action-recognition
Animal Pose Estimation,"Animal pose estimation is the task of identifying the pose of an animal.
( Image credit: Using DeepLabCut for 3D markerless pose estimation across species and behaviors )",https://paperswithcode.com/task/animal-pose-estimation
Anxiety Detection,Detect anxiety distress of human beings / animals,https://paperswithcode.com/task/anxiety-detection
Arousal Estimation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/arousal-estimation
Atari Games,"The Atari 2600 Games task (and dataset) involves training an agent to achieve high game scores.
( Image credit: Playing Atari with Deep Reinforcement Learning )",https://paperswithcode.com/task/atari-games
Audio Emotion Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/audio-emotion-recognition
Audio Generation,"Audio generation (synthesis) is the task of generating raw audio such as speech.
( Image credit: MelNet )",https://paperswithcode.com/task/audio-generation
Audio Source Separation,"Audio Source Separation is the process of separating a mixture (e.g. a pop band recording) into isolated sounds from individual sources (e.g. just the lead vocals).
Source: Model selection for deep audio source separation via clustering analysis",https://paperswithcode.com/task/audio-source-separation
Audio-Visual Active Speaker Detection,Determine if and when each visible person in the video is speaking.,https://paperswithcode.com/task/audio-visual-active-speaker-detection
Audio-visual Question Answering,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/audio-visual-question-answering
Automatic Speech Recognition (ASR),"Automatic Speech Recognition (ASR) involves converting spoken language into written text. It is designed to transcribe spoken words into text in real-time, allowing people to communicate with computers, mobile devices, and other technology using their voice. The goal of Automatic Speech Recognition is to accurately transcribe speech, taking into account variations in accent, pronunciation, and speaking style, as well as background noise and other factors that can affect speech quality.",https://paperswithcode.com/task/automatic-speech-recognition
Behavioral Malware Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/behavioral-malware-detection
Binarization,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/binarization
Blind Image Quality Assessment,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/blind-image-quality-assessment
Boundary Captioning,"Provided with the timestamp of a boundary inside a video, the machine is required to generate sentences describing the status change at the boundary.",https://paperswithcode.com/task/boundary-captioning
Boundary Grounding,"Provided with a description of a boundary inside a video, the machine is required to locate that boundary in the video.",https://paperswithcode.com/task/boundary-grounding
Box-supervised Instance Segmentation,This task aims to achieve instance segmentation with weakly bounding box annotations.,https://paperswithcode.com/task/box-supervised-instance-segmentation
Breast Cancer Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/breast-cancer-detection
Breast Tumour Classification,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/breast-tumour-classification
Camera Auto-Calibration,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/camera-auto-calibration
Camera shot segmentation,"Camera shot temporal segmentation consists in classifying each video frame according to the type of camera used to record said frame. This task is introduced with the SoccerNet-v2 dataset, where 13 camera classes are considered (main camera, behind the goal, corner camera, etc.).",https://paperswithcode.com/task/camera-shot-segmentation
Change Detection,"Change Detection is a computer vision task that involves detecting changes in an image or video sequence over time. The goal is to identify areas in the image or video that have undergone changes, such as appearance changes, object disappearance or appearance, or even changes in the scene's background.
Image credit: ""A TRANSFORMER-BASED SIAMESE NETWORK FOR CHANGE DETECTION""",https://paperswithcode.com/task/change-detection
Clinical Concept Extraction,"Automatic extraction of clinical named entities such as clinical problems, treatments, tests and anatomical parts from clinical notes.
( Source )",https://paperswithcode.com/task/clinical-concept-extraction
Color Mismatch Correction,Color mismatch correction is the task of transferring color from one view of a stereopair to corresponding areas in another where the colors differ incorrectly.,https://paperswithcode.com/task/color-mismatch-correction
Colorectal Gland Segmentation:,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/colorectal-gland-segmentation
Colorectal Polyps Characterization,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/colorectal-polyps-characterization
Colorization,"Colorization is a self-supervision approach that relies on colorization as the pretext task in order to learn image representations.
Source:
Colorful Image Colorization
Read Paper
See Code",https://paperswithcode.com/method/colorization
Composite action recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/composite-action-recognition
Conditional Image Generation,"Conditional image generation is the task of generating new images from a dataset conditional on their class.
( Image credit: PixelCNN++ )",https://paperswithcode.com/task/conditional-image-generation
Continual Learning,"Continual Learning (also known as Incremental Learning, Life-long Learning) is a concept to learn a model for a large number of tasks sequentially without forgetting knowledge obtained from the preceding tasks, where the data in the old tasks are not available anymore during training new ones.
If not mentioned, the benchmarks here are Task-CL, where task-id is provided on validation.
Source:
Continual Learning by Asymmetric Loss Approximation with Single-Side Overestimation
Three scenarios for continual learning
Lifelong Machine Learning
Continual lifelong learning with neural networks: A review",https://paperswithcode.com/task/continual-learning
Contrastive Learning,,https://paperswithcode.com/method/contrastive-learning
Conversational Response Generation,"Given an input conversation, generate a natural-looking text reply to the last conversation element.
Image credit: DIALOGPT : Large-Scale Generative Pre-training for Conversational Response Generation",https://paperswithcode.com/task/conversational-response-generation
Cross-Modal Retrieval,"Cross-Modal Retrieval is used for implementing a retrieval task across different modalities. such as image-text, video-text, and audio-text Cross-Modal Retrieval. The main challenge of Cross-Modal Retrieval is the modality gap and the key solution of Cross-Modal Retrieval is to generate new representations from different modalities in the shared subspace, such that new generated features can be applied in the computation of distance metrics, such as cosine distance and Euclidean distance.
Source: Deep Triplet Neural Networks with Cluster-CCA for Audio-Visual Cross-modal Retrieval",https://paperswithcode.com/task/cross-modal-retrieval
Data Augmentation,"Data augmentation involves techniques used for increasing the amount of data, based on different modifications, to expand the amount of examples in the original dataset. Data augmentation not only helps to grow the dataset but it also increases the diversity of the dataset. When training machine learning models, data augmentation acts as a regularizer and helps to avoid overfitting.
Data augmentation techniques have been found useful in domains like NLP and computer vision. In computer vision, transformations like cropping, flipping, and rotation are used. In NLP, data augmentation techniques can include swapping, deletion, random insertion, among others.
Further readings:
A Survey of Data Augmentation Approaches for NLP
A survey on Image Data Augmentation for Deep Learning
( Image credit: Albumentations )",https://paperswithcode.com/task/data-augmentation
Deep Attention,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/deep-attention
Depression Detection,"Depression Detection is the problem of identifying signs of depression in individuals. These signs might be identified in peoples’ speech, facial expressions and in the use of language.
Source: Affective Conditioning on Hierarchical Attention Networks applied to Depression Detection from Transcribed Clinical Interviews",https://paperswithcode.com/task/depression-detection
Dialog Act Classification,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/dialog-act-classification
Dialogue Generation,"Dialogue generation is the task of ""understanding"" natural language inputs - within natural language processing in order to produce output. The systems are usually intended for conversing with humans, for instance back and forth dialogue with a conversation agent like a chatbot. Some example benchmarks for this task (see others such as Natural Language Understanding) include FusedChat and Ubuntu DIalogue Corpus (UDC). Models can be evaluated via metrics such as BLEU, ROUGE, and METEOR albeit with challenges in terms of weak correlation with human judgement, that may be addressed by new ones like UnSupervised and Reference-free (USR) and Metric for automatic Unreferenced dialog evaluation (MaUde).",https://paperswithcode.com/task/dialogue-generation
Dimensionality Reduction,Dimensionality Reduction methods transform data from a high-dimensional space into a low-dimensional space so that the low-dimensional space retains the most important properties of the original data. Below you can find a continuously updating list of dimensionality reduction methods.,https://paperswithcode.com/methods/category/dimensionality-reduction
Drivable Area Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/drivable-area-detection
Emotional Dialogue Acts,"Associating Emotions and Dialogue Acts to find unique relationships between them such as Accept/Agree dialogue acts often occur with the Joy emotion, Apology with Sadness, or Thanking with Joy. First introduced in the paper EDA: Enriching Emotional Dialogue Acts using an Ensemble of Neural Annotators, LREC 2020 (https://aclanthology.org/2020.lrec-1.78/).",https://paperswithcode.com/task/emotional-dialogue-acts
English Conversational Speech Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/english-conversational-speech-recognition
Face Clustering,Face Clustering in the videos,https://paperswithcode.com/task/face-clustering
Face Generation,"Face generation is the task of generating (or interpolating) new faces from an existing dataset.
The state-of-the-art results for this task are located in the Image Generation parent.
( Image credit: Progressive Growing of GANs for Improved Quality, Stability, and Variation )",https://paperswithcode.com/task/face-generation
Facial Expression Translation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/facial-expression-translation
Facial expression generation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/facial-expression-generation
Fact Checking,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/fact-checking
Few-Shot Image Classification,"Few-Shot Image Classification is a computer vision task that involves training machine learning models to classify images into predefined categories using only a few labeled examples of each category (typically < 6 examples). The goal is to enable models to recognize and classify new images with minimal supervision and limited data, without having to train on large datasets. (typically < 6 examples)
( Image credit: Learning Embedding Adaptation for Few-Shot Learning )",https://paperswithcode.com/task/few-shot-image-classification
Few-Shot Object Detection,Few-Shot Object Detection is a computer vision task that involves detecting objects in images with limited training data. The goal is to train a model on a few examples of each object class and then use the model to detect objects in new images.,https://paperswithcode.com/task/few-shot-object-detection
Fill Mask,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/fill-mask
Fine-Grained Vehicle Classification,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/fine-grained-vehicle-classification
Fine-Grained Visual Categorization,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/fine-grained-visual-categorization
Fine-Grained Visual Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/fine-grained-visual-recognition
Fine-grained Action Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/fine-grained-action-recognition
Fire Detection,Detection of fire using multi-variate time series sensor data.,https://paperswithcode.com/task/fire-detection
Future Hand Prediction,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/future-hand-prediction
Future prediction,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/future-prediction
Gait Identification,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/gait-identification
Gaze Prediction,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/eye-tracking
Gender Prediction,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/gender-prediction
General Action Video Anomaly Detection,Detecting if an entire short clip of a any action features an anomalous motion - another action class not seen during training.,https://paperswithcode.com/task/general-action-video-anomaly-detection
General Classification,Algorithms trying to solve the general task of classification.,https://paperswithcode.com/task/classification
Generalizable Person Re-identification,Generalizable person re-identification refers to methods trained on a source dataset but directly evaluated on a target dataset without domain adaptation or transfer learning.,https://paperswithcode.com/task/generalizable-person-re-identification
Generalized Zero-Shot Object Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/generalized-zero-shot-object-detection
Gesture Generation,"Generation of gestures, as a sequence of 3d poses",https://paperswithcode.com/task/gesture-generation
Graph Matching,"Graph Matching is the problem of finding correspondences between two sets of vertices while preserving complex relational information among them. Since the graph structure has a strong capacity to represent objects and robustness to severe deformation and outliers, it is frequently adopted to formulate various correspondence problems in the field of computer vision. Theoretically, the Graph Matching problem can be solved by exhaustively searching the entire solution space. However, this approach is infeasible in practice because the solution space expands exponentially as the size of input data increases. For that reason, previous studies have attempted to solve the problem by using various approximation techniques.
Source: Consistent Multiple Graph Matching with Multi-layer Random Walks Synchronization",https://paperswithcode.com/task/graph-matching
Group Anomaly Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/group-anomaly-detection
HD semantic map learning,"The goal of task is to generate map elements in a vectorized form using data from onboard sensors, e.g., RGB cameras and/or LiDARs. These map elements include but are not limited to : Road boundaries, boundaries of roads that split roads and sidewalks.",https://paperswithcode.com/task/hd-semantic-map-learning
HDR Reconstruction,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/hdr-reconstruction
Hand Joint Reconstruction,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/hand-joint-reconstruction
Hand Segmentation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/hand-segmentation
Hand-Gesture Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/hand-gesture-recognition-1
Head Pose Estimation,"Estimating the head pose of a person is a crucial problem that has a large amount of applications such as aiding in gaze estimation, modeling attention, fitting 3D models to video and performing face alignment.
( Image credit: FSA-Net: Learning Fine-Grained Structure Aggregation for Head Pose Estimation from a Single Image )",https://paperswithcode.com/task/head-pose-estimation
Heart Rate Variability,Heart rate variability (HRV) is the physiological phenomenon of variation in the time interval between heartbeats. It is measured by the variation in the beat-to-beat interval.,https://paperswithcode.com/task/heart-rate-variability
Home Activity Monitoring,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/home-activity-monitoring
Human Activity Recognition,Classify various human activities,https://paperswithcode.com/task/human-activity-recognition
Human Dynamics,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/human-dynamics
Human Instance Segmentation,"Instance segmentation is the task of detecting and delineating each distinct object of interest appearing in an image.
Image Credit: Deep Occlusion-Aware Instance Segmentation with Overlapping BiLayers",https://paperswithcode.com/task/human-instance-segmentation
Human Part Segmentation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/human-part-segmentation
Human fMRI response prediction,"The task is: Given a) the set of videos of everyday events and b) the corresponding brain responses recorded while human participants viewed those videos, use computational models to predict brain responses for videos.",https://paperswithcode.com/task/human-fmri-response-prediction
Human motion prediction,"Action prediction is a pre-fact video understanding task, which focuses on future states, in other words, it needs to reason about future states or infer action labels before the end of action execution.",https://paperswithcode.com/task/human-motion-prediction
Human-Object-interaction motion tracking,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/human-object-interaction-motion-tracking
